Country,City,Starting_a_business_score,Dealing_with_construction_permits_score,Getting_Electricity_score,Registering_Property_score,Getting_Credit_score,Strength_of_minority_investors_protection_score,Paying_taxes_score,Trading_across_borders_score,Enforcing_contracts_score,Resolving_insolvency_score,Overall_ease_of_doing_business_score
Afghanistan,Afghanistan,92,34.5,44.2,27.5,50,36,42.2,30.6,31.8,51.9,44.1
Albania,Albania,91.8,52.7,71,63.4,70,46,65.2,96.3,53.5,67.7,67.7
Algeria,Algeria,78,65.3,72.1,44.3,10,20,53.9,38.4,54.8,49.2,48.6
Angola,Angola,79.4,65.3,54.1,43.3,5,32,69.5,36.2,28.1,0,41.3
Antigua and Barbuda,Antigua and Barbuda,82.6,65.7,83.5,56.7,25,58,58.9,68.7,68.1,35.6,60.3
Argentina,Argentina,80.4,56.4,70,56.7,50,62,49.3,67.1,57.5,40,59
Armenia,Armenia,96.1,73.1,87.7,88.6,70,42,81.5,91.7,69.7,44.6,74.5
Australia,Australia,96.6,84.7,82.3,75.7,95,64,85.7,70.3,79,78.9,81.2
Austria,Austria,83.2,75.1,87.7,80,55,70,83.5,100,75.5,77.4,78.7
Azerbaijan,Azerbaijan,96.2,73.4,77.3,75.4,100,50,84,77,70.3,63.5,76.7
"Bahamas, The","Bahamas, The",87,70.9,76.7,30.8,30,56,81.7,53.1,59.1,53.4,59.9
Bahrain,Bahrain,89.6,83.1,79.7,86.2,55,66,100,78.7,63.8,58.2,76
Bangladesh,Bangladesh,,,,,,,,,,,
Bangladesh Chittagong,Bangladesh Chittagong,82.4,63.8,38.1,28.9,45,60,56.1,31.8,22.2,28.1,45.6
Bangladesh Dhaka,Bangladesh Dhaka,82.4,60.3,34,29,45,60,56.1,31.8,22.2,28.1,44.9
Barbados,Barbados,86.4,56.6,66.2,58,30,38,72.3,62.8,38.9,69.8,57.9
Belarus,Belarus,93.5,75.2,90.3,87.8,50,58,71.2,96.5,67.6,52.9,74.3
Belgium,Belgium,92.3,75.5,70.6,51.8,65,68,78.4,100,64.3,84.1,75
Belize,Belize,72,64.3,73.7,52.4,20,28,79.9,68.2,50.1,46.1,55.5
Benin,Benin,90.6,70.5,33.8,56.3,30,42,49.3,68.9,41.5,41,52.4
Bhutan,Bhutan,86.4,68.9,77.5,72.6,55,46,89.2,94.2,70,0,66
Bolivia,Bolivia,69.4,60,73.2,49.9,35,38,21.6,71.6,55.6,42.3,51.7
Bosnia and Herzegovina,Bosnia and Herzegovina,60,48.6,79,63.6,65,56,60.4,95.7,57.8,68.2,65.4
Botswana,Botswana,76.2,75.6,59.5,65.8,60,60,80,86.7,50,48.2,66.2
Brazil,Brazil,,,,,,,,,,,
Brazil Rio de Janeiro,Brazil Rio de Janeiro,80.8,58.4,74,52.7,50,62,34.4,69.9,62,50.4,59.5
Brazil São Paulo,Brazil São Paulo,81.6,47.7,72,55,50,62,34.4,69.9,65.4,50.4,58.8
Brunei Darussalam,Brunei Darussalam,94.9,73.6,87.7,50.7,100,40,74,58.7,62.8,58.2,70.1
Bulgaria,Bulgaria,85.4,75.9,55.1,69.8,65,74,72.3,97.4,67,57.8,72
Burkina Faso,Burkina Faso,88.2,68.7,29.4,51.4,30,42,55.9,66.6,41.1,40.8,51.4
Burundi,Burundi,92.9,55,26.4,62.6,15,34,60.9,47.3,43,30.6,46.8
Cabo Verde,Cabo Verde,84.5,74.6,54.7,68.8,35,24,74.8,69.1,64.8,0,55
Cambodia,Cambodia,52.4,44.6,57.5,55.2,80,40,61.3,67.3,31.7,48.5,53.8
Cameroon,Cameroon,86.3,56.5,61.3,40.1,60,28,36.3,16,39.9,36.6,46.1
Canada,Canada,98.2,73,63.8,77.8,85,84,88.1,88.4,57.1,81,79.6
Central African Republic,Central African Republic,63.2,34.1,24.6,42,35,26,18.9,52.4,31.4,28.1,35.6
Chad,Chad,52.5,47.2,32.2,54.8,30,24,17.9,37,45.5,28.1,36.9
Chile,Chile,91.4,75.9,85.7,71.1,55,66,75.3,80.6,64.7,60.1,72.6
China,China,,,,,,,,,,,
China Beijing,China Beijing,95.1,77.8,95.4,82.6,60,72,71.7,85.7,80,62.1,78.2
China Shanghai,China Shanghai,93.3,77,95.4,79.7,60,72,68.7,87.2,81.6,62.1,77.7
Colombia,Colombia,87,69.1,76.3,71.2,90,80,58.6,62.7,34.3,71.4,70.1
Comoros,Comoros,76.5,68,60.2,58.4,40,26,49.9,66.9,33,0,47.9
"Congo, Dem. Rep.","Congo, Dem. Rep.",91.6,59.5,34.7,46.6,30,22,40.9,3.5,33.3,0,36.2
